Ingredients,ingredient
6ejlkvl - 7,6ejlkvl - 7
oleoresin),oleoresin)
apfelsaft (17%),apfelsaft (17%)
colorant e160a),colorant e160a)
bananes (6%),bananes (6%)
triphosphate de sodium,triphosphate de sodium
conservante - sorbato de potasio -,conservante - sorbato de potasio -
chocolate flavored coating (palm kernel oil,chocolate flavored coating (palm kernel oil
cilantro flavor (dextrose,cilantro flavor (dextrose
courgette2 3,courgette2 3
pasteurized cultured organic milk,pasteurized cultured organic milk
agent levant',agent levant'
eau (16,eau (16
ethyl,ethyl
watermelon juice not from concentrate (14%),watermelon juice not from concentrate (14%)
natural yogurt coating (evaporated cane juice,natural yogurt coating (evaporated cane juice
organic green pea flour,organic green pea flour
contains less than 2% of red jalapeno pepper puree (red jalapeno pepper,contains less than 2% of red jalapeno pepper puree (red jalapeno pepper
garlic (garlic,garlic (garlic
jambon cru 3 % (jambon de porc,jambon cru 3 % (jambon de porc
perdreaux,perdreaux
organic wild dried blueberries (organic wild blueberries,organic wild dried blueberries (organic wild blueberries
apple vinegar powder,apple vinegar powder
aluminum phosphate),aluminum phosphate)
glucose-fructose syrup (from wheat or corn),glucose-fructose syrup (from wheat or corn)
and spices,and spices
anti caking agent (silicon dioxide),anti caking agent (silicon dioxide)
walnuts and/or pecans,walnuts and/or pecans
organic unbleached cane sugar,organic unbleached cane sugar
almonds cranberries (sugar,almonds cranberries (sugar
spices (including paprika),spices (including paprika)
natural color (cucumin),natural color (cucumin)
light low moisture part skim mozzarella cheese (pasteurized part skim milk,light low moisture part skim mozzarella cheese (pasteurized part skim milk
organic cold pressed apple,organic cold pressed apple
pacanas (2%),pacanas (2%)
viande de boeuf 12% (suisse),viande de boeuf 12% (suisse)
cultured celery extract,cultured celery extract
acidifiant(e33),acidifiant(e33)
organic purple corn,organic purple corn
malt barley extract,malt barley extract
carotte jaune 9,carotte jaune 9
pasteurized sheep,pasteurized sheep
potato stardch,potato stardch
salt dill,salt dill
vollkorn-dinkelmehl,vollkorn-dinkelmehl
frauses 6 %,frauses 6 %
junger gouda,junger gouda
bakin,bakin
vit b6,vit b6
antioxidants e320,antioxidants e320
chou chinois 9%,chou chinois 9%
enriched unbleached wheat flour (niacin,enriched unbleached wheat flour (niacin
19,19
(97%),(97%)
sodium benzoate and potassium sorbate(preservatives),sodium benzoate and potassium sorbate(preservatives)
9%) (jambon (5,9%) (jambon (5
high fructose corn syrup solids,high fructose corn syrup solids
organic millet sprout,organic millet sprout
preserves (raspberry puree,preserves (raspberry puree
unbleached and unbromated enriched wheat flour (niacin,unbleached and unbromated enriched wheat flour (niacin
citrons confits d'espagne,citrons confits d'espagne
real sour cream (cultured pasteurized light cream,real sour cream (cultured pasteurized light cream
pulpe de mangue 14%,pulpe de mangue 14%
cooked whi,cooked whi
filet de poulet (92%),filet de poulet (92%)
soy lecithin ( a natural emulsifler),soy lecithin ( a natural emulsifler)
corn and/or peanut oil),corn and/or peanut oil)
tapioca glucose egg whites,tapioca glucose egg whites
cornichon 3,cornichon 3
viande de cuisse de dinde (78 %),viande de cuisse de dinde (78 %)
de safran et de l-vahne,de safran et de l-vahne
dry hot sauce,dry hot sauce
tomates coeur de boeuf,tomates coeur de boeuf
sodium metabisulfate preservative,sodium metabisulfate preservative
butter skim milk,butter skim milk
chocolat 9% (cacao en poudre,chocolat 9% (cacao en poudre
teriyaki s,teriyaki s
oeufs et jaunes d'oeufs frais,oeufs et jaunes d'oeufs frais
vanilla yogurt (pasteurized grade nonfat milk,vanilla yogurt (pasteurized grade nonfat milk
white jasmine rice),white jasmine rice)
tomates 20% (italie),tomates 20% (italie)
agents denrobage (e414,agents denrobage (e414
fresh eggs 26%,fresh eggs 26%
niacine (b3) et thiamine (bi)),niacine (b3) et thiamine (bi))
onion puree (onions evaporated cane juice,onion puree (onions evaporated cane juice
sirop de sucre de canne blond,sirop de sucre de canne blond
sien di latte in polvere,sien di latte in polvere
harina de arroz 1%,harina de arroz 1%
california seedless jumbo flame raisins,california seedless jumbo flame raisins
cum,cum
guar gun,guar gun
clous de girofle ab,clous de girofle ab
gluten free crust (water,gluten free crust (water
e304e e331iii et e331),e304e e331iii et e331)
poivre origan,poivre origan
polyglycerol gum,polyglycerol gum
interesterified soybean oil,interesterified soybean oil
orangel citron,orangel citron
farine de 16%,farine de 16%
12% de raisins secs,12% de raisins secs
tomates (98%),tomates (98%)
afin de tirer parti au mieux de ce produit,afin de tirer parti au mieux de ce produit
black pepper),black pepper)
and/or belize,and/or belize
succiniic acid,succiniic acid
2% or less of sunflower oil,2% or less of sunflower oil
antioxidants (arsobic acid,antioxidants (arsobic acid
estabilizadores (e460,estabilizadores (e460
colorant (e142),colorant (e142)
parmesan cheese (cultured mil,parmesan cheese (cultured mil
12 bd de la providence,12 bd de la providence
evaporated milled invert sugar,evaporated milled invert sugar
pommes de terre 11,pommes de terre 11
spices (,spices (
desiccated coconut macaroon medium,desiccated coconut macaroon medium
artificial banana flavor,artificial banana flavor
ultra filtered skim milk and cream cultures),ultra filtered skim milk and cream cultures)
0 kcal),0 kcal)
chrysanthemum,chrysanthemum
natural cheese flavors (cheddar,natural cheese flavors (cheddar
plrntes bntloxyoflnts e301,plrntes bntloxyoflnts e301
410,410
dried cranberries (sugar,dried cranberries (sugar
wasabi seasoning (evaporated cane,wasabi seasoning (evaporated cane
organic fresh carrots,organic fresh carrots
calcium lactose,calcium lactose
palm mono and diglycerides,palm mono and diglycerides
lentilles corail 6,lentilles corail 6
sucre brun 40%,sucre brun 40%
olive oil and sea salt,olive oil and sea salt
granny smith apple juice,granny smith apple juice
mascarpone 1 %,mascarpone 1 %
groseilles 7,groseilles 7
cooked dehydrated red beans,cooked dehydrated red beans
sulfites e220,sulfites e220
paste),paste)
brechbohnen,brechbohnen
saucisse de porc 8% (maigre et gras de porc,saucisse de porc 8% (maigre et gras de porc
semi dl l,semi dl l
100% expeller pressed sunflower and/or canola oil,100% expeller pressed sunflower and/or canola oil
smoke ham flavor (potato maltodextrin natural flavor,smoke ham flavor (potato maltodextrin natural flavor
jus de viande,jus de viande
extrait d'algues (lithothamnium calcareum),extrait d'algues (lithothamnium calcareum)
and distilled acetylated monoglycerides dispersed in dextrose,and distilled acetylated monoglycerides dispersed in dextrose
tart cherries,tart cherries
naturally brewed soy sauce(water,naturally brewed soy sauce(water
poulet,poulet
peanut butter drops (sugar,peanut butter drops (sugar
black mustard seeds,black mustard seeds
2% or less of partially hydrogenated soybean oil,2% or less of partially hydrogenated soybean oil
tomato (6%),tomato (6%)
juice from honeycrisp apples,juice from honeycrisp apples
5% - sel 2,5% - sel 2
15% wasserkastanien,15% wasserkastanien
sucre de canne (8,sucre de canne (8
blend of vegetable oils (palme,blend of vegetable oils (palme
palm and/or can,palm and/or can
raifort (8%,raifort (8%
farina di riso tailandese,farina di riso tailandese
swad red,swad red
sucre (25%),sucre (25%)
corn starch and calcium sulfate added to prev,corn starch and calcium sulfate added to prev
strawberry juice (water and strawberry juice concentrate),strawberry juice (water and strawberry juice concentrate)
poivrons 28 %,poivrons 28 %
18 g,18 g
glucono-delta lactone,glucono-delta lactone
60% cranberries,60% cranberries
pyridoxine hydrochlori,pyridoxine hydrochlori
organic nut meal (organic pecan and/or organic walnut),organic nut meal (organic pecan and/or organic walnut)
thon (24%),thon (24%)
fond de volaille (maltodex- trine de pomme de terre,fond de volaille (maltodex- trine de pomme de terre
smoke flavor (aqueous solution of natural hickory wood smoke flavors),smoke flavor (aqueous solution of natural hickory wood smoke flavors)
vegetable oils (coconut oil,vegetable oils (coconut oil
bio ingwer,bio ingwer
lemon juice con,lemon juice con
assaisonnement saveur sel et vinaigre (lactose,assaisonnement saveur sel et vinaigre (lactose
cream powder (milk),cream powder (milk)
canola and safflower),canola and safflower)
chunks (cocoa,chunks (cocoa
chair de poisson 30%,chair de poisson 30%
reiscrispies,reiscrispies
palm oil with tbhq (preservative),palm oil with tbhq (preservative)
dehydrated red chilli pepper,dehydrated red chilli pepper
jus de tomate 20 %,jus de tomate 20 %
blue ribbon calimyrna figs,blue ribbon calimyrna figs
vinegar distilled,vinegar distilled
bananen-,bananen-
(2,(2
vegetable oil (soy),vegetable oil (soy)
strawberry topping (high fructose corn syrup,strawberry topping (high fructose corn syrup
jambon cuit (10,jambon cuit (10
zuursel),zuursel)
strawberry slices,strawberry slices
basil (0,basil (0
poeder van (maltodextrine,poeder van (maltodextrine
huile d'olive vierge extra 98%,huile d'olive vierge extra 98%
amido di frumento),amido di frumento)
smoked herring fillets 76%,smoked herring fillets 76%
cheddar cheese solids (pasteuri,cheddar cheese solids (pasteuri
nicotinezuufr ami e,nicotinezuufr ami e
natural floors,natural floors
farine de seigle 32%,farine de seigle 32%
08%,08%
natural flavors (jamaican ginger oil,natural flavors (jamaican ginger oil
natural celery extract,natural celery extract
dragon,dragon
oat fiber maltodextrin,oat fiber maltodextrin
champagine vinegar,champagine vinegar
red vinegar,red vinegar
artificial flavors and ar,artificial flavors and ar
crunchies de framboise (framboise (extrait sec 33 %),crunchies de framboise (framboise (extrait sec 33 %)
black chick peas,black chick peas
whey powder(milk),whey powder(milk)
yeast oranges,yeast oranges
chocolat en poudre 9%,chocolat en poudre 9%
viande bovine 6 % (origine france),viande bovine 6 % (origine france)
0% - pommes de terre 22,0% - pommes de terre 22
stevia extract (steviol glycosides),stevia extract (steviol glycosides)
quinoa 16%,quinoa 16%
seedless flame raisins,seedless flame raisins
e452ii,e452ii
n5n,n5n
glucomannan acid (cla)tconjugated linoleic caseinate agent dl-choline lipase),glucomannan acid (cla)tconjugated linoleic caseinate agent dl-choline lipase)
organic cultured milk,organic cultured milk
jambon de porc),jambon de porc)
copse,copse
soft white w,soft white w
pommes de terre 10,pommes de terre 10
soy lecithin (an emulsifier) and vanilla) coffee beans,soy lecithin (an emulsifier) and vanilla) coffee beans
concentrated whole milk sea salt,concentrated whole milk sea salt
high fructose co,high fructose co
grapefruit pulp sacs,grapefruit pulp sacs
beta-carotene colouring),beta-carotene colouring)
cranberries (6%),cranberries (6%)
skim fat milk,skim fat milk
may contain potassium chloride,may contain potassium chloride
calcium ac,calcium ac
vitamin b2 (riboflavin ),vitamin b2 (riboflavin )
fruit pieces (concentrated apple puree (apples,fruit pieces (concentrated apple puree (apples
grondin entier),grondin entier)
less than 2% onion powder,less than 2% onion powder
mahodextrine,mahodextrine
aceite de girasol (36%),aceite de girasol (36%)
sprouted ancient grain,sprouted ancient grain
oignons 16%,oignons 16%
cr korce d'orange,cr korce d'orange
chocolate oil,chocolate oil
aubergine 7,aubergine 7
chocolate liquor(processed with alkali),chocolate liquor(processed with alkali)
flour bleached (wheat flour,flour bleached (wheat flour
maltodexrtin,maltodexrtin
sodium acid and calcium caseinates,sodium acid and calcium caseinates
sake (rice salt),sake (rice salt)
natural bacon (cured with water,natural bacon (cured with water
dextrose oil,dextrose oil
galletas integrales con avena y trigo ingredientes copos de avena 38,galletas integrales con avena y trigo ingredientes copos de avena 38
crushed sweet potato,crushed sweet potato
5% ( sucre,5% ( sucre
sucre de canne 55%,sucre de canne 55%
natural caramel flavour,natural caramel flavour
dark wheat bread (unbleached wheat flour,dark wheat bread (unbleached wheat flour
viande de boeuf crue origine france 16 %,viande de boeuf crue origine france 16 %
e170)),e170))
organic dehydrated cane sugar canola oil,organic dehydrated cane sugar canola oil
chioggia-bietjes- en blauwe aardappelchids moi,chioggia-bietjes- en blauwe aardappelchids moi
tomate cerise,tomate cerise
caramel color natural lemon juice solids,caramel color natural lemon juice solids
organic banana chips (organic bananas,organic banana chips (organic bananas
raisins secs de smyrne (6%),raisins secs de smyrne (6%)
clarified pineapple juice from concentrate,clarified pineapple juice from concentrate
organic expeller pressed sunflower oil and/or canola oil and/or safflower oil,organic expeller pressed sunflower oil and/or canola oil and/or safflower oil
milk (nonfat milk solids),milk (nonfat milk solids)
thehutgroup meridian house,thehutgroup meridian house
ponceau,ponceau
graines de lin brun 5,graines de lin brun 5
corn and/or peanut oil,corn and/or peanut oil
70% dark chocolate (chocolate liquor,70% dark chocolate (chocolate liquor
traubensaft aus fruchtsaftkonzentrat (3,traubensaft aus fruchtsaftkonzentrat (3
sauermilch teilentrahmt,sauermilch teilentrahmt
jus de citron vert (57%),jus de citron vert (57%)
organic navy beans,organic navy beans
grasa vegeta( (nuez de coco,grasa vegeta( (nuez de coco
cipolla rossa 7%,cipolla rossa 7%
palme 5,palme 5
erythiritol,erythiritol
jus de carottes bio 38%,jus de carottes bio 38%
fried onion powder,fried onion powder
corrector de acidez e-330,corrector de acidez e-330
aceite de oliva virgen extra (1%),aceite de oliva virgen extra (1%)
concentrato di minerali del latte sale,concentrato di minerali del latte sale
natural flavors including vanilla extract,natural flavors including vanilla extract
fresh mint,fresh mint
inosine,inosine
dried egg y,dried egg y
huile dlolive vierge extra 0,huile dlolive vierge extra 0
filberts/hazelnuts,filberts/hazelnuts
jus de framboises 9 %,jus de framboises 9 %
pulpe de tomate 9%,pulpe de tomate 9%
consist of cucumbers,consist of cucumbers
fruit 12% (fraise ou framboise ou myrtille),fruit 12% (fraise ou framboise ou myrtille)
flocons de pommes de terre (66%),flocons de pommes de terre (66%)
dehydrated chili and chipotle peppers,dehydrated chili and chipotle peppers
onse,onse
potirons 43,potirons 43
rosmarino,rosmarino
